id_registro,etiqueta_humana,evento,texto_para_anotacion,texto_limpio,etiqueta_silver_hashtag,Pseudo_E1,Pseudo_E2,Árbol de Decisión_E1,KNN_E1,Naïve Bayes_E1,SVM_E1,Árbol de Decisión_E2,KNN_E2,Naïve Bayes_E2,SVM_E2,acierto_silver,acierto_pseudo_E1,acierto_pseudo_E2,desacuerdo_silver_pseudoE2
55337e7df77a06eb566b,1,Muerte Cruzada,decision disolver #asambleanacional detener plan macabro viabilizar retorno presidente sentenciado corrupcion senalo #guillermolasso entrevista @cnnee segun dijo #muertecruzada acto generosidad,plan macabro retorno presidente sentenciado corrupcion senalo @cnnee acto generosidad,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
86b56344b4bb3082168e,1,Muerte Cruzada,voz chillona viviana veloz morir otitis aguda #muertecruzada,voz chillona viviana veloz otitis aguda,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
b76c4e3b67b1e85ef762,1,Paro Nacional,guayaquil respalda @lassoguillermo bajes brazos sigue adelante #ecuadorquierepaz paz logra,guayaquil @lassoguillermo bajes brazos paz,1,1,1,1,1,0,1,1,1,1,1,True,True,True,False
d7a1bfae104a67c8ce33,0,Muerte Cruzada,atenci n publicacion medio comunicacion queremos indicar jugador emmanuel martinez est planes @csemelec #tribunaelectrica #emelec,publicacion comunicacion jugador emmanuel martinez est planes @csemelec,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False
afb18cc6644d1bf32220,1,Muerte Cruzada,legisladores presentes instala sesion @asambleaecuador da inicio #juiciopolitico presidente @lassoguillermo,legisladores presentes instala @asambleaecuador inicio presidente @lassoguillermo,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
cf3fd1487b6f092d2ee2,1,Muerte Cruzada,seguro lasso suficientemente miserable hacer perder dias vacaciones funcionarios publicos obligarlos defenderle ademas hacerles pagar bus #fueralassofuera #juiciopoliticoalasso,seguro lasso suficientemente miserable vacaciones funcionarios publicos obligarlos hacerles bus,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
2cb3b2de83a5d678f520,1,Paro Nacional,#conaie alerta actitud beligerante gobierno excepcion #radiovision,alerta actitud beligerante gobierno,1,1,1,1,1,0,1,1,1,0,1,True,True,True,False
641aa04c58673ed90f01,1,Paro Nacional,#ecuador firmo acta pone fin #paronacionalec dias iza solo pacificar pais aceptam,firmo acta pais aceptam,1,1,1,1,1,0,1,1,1,0,1,True,True,True,False
9669e372f7a620f8b220,1,Muerte Cruzada,feo quedaron asambleistas virados psc pk anunciaron decision juicio mal vistos aire #muertecruzada,feo asambleistas virados psc decision juicio vistos aire,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
6eae7a0e0fd3eb0aae2b,0,Paro Nacional,rodrigo aguirre #copaecuadorecuabet,aguirre,0,1,1,1,1,0,1,1,1,0,1,True,False,False,True
9db969eead32bd855712,0,Muerte Cruzada,salud vida ultimas noticias ennedi massif africa s remote geological wonder seguros ecuador contactenos #seguros #ecuador #vida,salud vida ultimas noticias massif africa remote geological wonder seguros ecuador contactenos,0,1,1,1,1,1,1,1,1,1,1,True,False,False,True
9fc747b5418a6300f1b8,1,Muerte Cruzada,muerte cruzada ecuador quedamos asamblea ganaban alcanzaba espero ahora si alcance mensuales sbu felicidad prueben pueblo #asambleanacional #lassoajuiciopolitico #lasso,muerte cruzada ecuador asamblea mensuales felicidad pueblo,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
a1822f12db0d6945bc06,1,Muerte Cruzada,@lassoguillermo altura ecuador merece descabellado juicio politico #juiciosinpruebas #losbuenossomosmas,@lassoguillermo altura ecuador descabellado juicio politico,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
9e9e9d95d825120724a0,1,Muerte Cruzada,interesante analisis estrategia comunicacional politica supuesto torno ambiente digital #muertecruzada,interesante analisis estrategia comunicacional politica torno ambiente digital,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
d56f64b618644f36dbf7,1,Muerte Cruzada,pobre hombre apoyenlo ex asambleista desempleado #ecuador #asambleanacional #lasso #almeida #desempleo,pobre hombre apoyenlo asambleista desempleado,1,1,1,1,1,0,1,1,1,1,1,True,True,True,False
bb1ae7eeff4fe3ac2a64,0,Muerte Cruzada,video arquero millonario dio balance complicado momento equipo pidio paciencia aficionados #emelec reclaman resultados mas detalles,video arquero millonario balance complicado momento equipo pidio aficionados resultados detalles,0,0,0,0,0,1,0,0,0,1,0,True,True,True,False
7393b0432bcb794bf0d5,1,Muerte Cruzada,#cnerindecuentas cumpliendo establecido #codigodemocracia #cne otorgo asistencia tecnica procesos electorales internos instancias publicas privadas acuerdo leyes estatutos reglamentos,establecido otorgo asistencia tecnica procesos electorales internos instancias publicas privadas leyes estatutos reglamentos,1,1,1,1,1,1,1,1,1,1,1,True,True,True,False
